"","ensembl_id","gene_name"
"509","ENSMUSG00000026313","Hdac4"
"510","ENSMUSG00000026260","Ndufa10"
"511","ENSMUSG00000067064","Olfr1416"
"512","ENSMUSG00000057464","Olfr1415"
"513","ENSMUSG00000042849","Olfr1414"
"514","ENSMUSG00000058904","Olfr1413"
"515","ENSMUSG00000046300","Olfr1412"
"516","ENSMUSG00000062497","Olfr1411"
"517","ENSMUSG00000063583","Olfr1410"
"518","ENSMUSG00000061616","Olfr12"
"519","ENSMUSG00000073616","Myeov2"
"520","ENSMUSG00000044055","Otos"
"521","ENSMUSG00000034220","Gpc1"
"522","ENSMUSG00000034212","Ankmy1"
"523","ENSMUSG00000047067","Dusp28"
"524","ENSMUSG00000026269","Rnpepl1"
"525","ENSMUSG00000026270","Capn10"
"526","ENSMUSG00000026271","Gpr35"
"527","ENSMUSG00000045091","Aqp12"
"528","ENSMUSG00000014602","Kif1a"
"529","ENSMUSG00000026272","Agxt"
"530","ENSMUSG00000034159","2310007B03Rik"
"531","ENSMUSG00000084989","Crocc2"
"532","ENSMUSG00000047793","Sned1"
"533","ENSMUSG00000026273","Mterf4"
"534","ENSMUSG00000026274","Pask"
"535","ENSMUSG00000026275","Ppp1r7"
"536","ENSMUSG00000034107","Ano7"
"537","ENSMUSG00000034088","Hdlbp"
"538","ENSMUSG00000026276","Sept2"
"539","ENSMUSG00000034066","Farp2"
"540","ENSMUSG00000026277","Stk25"
"541","ENSMUSG00000026278","Bok"
"542","ENSMUSG00000026279","Thap4"
"543","ENSMUSG00000026280","Atg4b"
"544","ENSMUSG00000026281","Dtymk"
"545","ENSMUSG00000026283","Ing5"
"546","ENSMUSG00000073609","D2hgdh"
"547","ENSMUSG00000094651","Gal3st2"
"548","ENSMUSG00000093805","Gm9994"
"549","ENSMUSG00000073608","Gm6086"
"550","ENSMUSG00000034000","Neu4"
"551","ENSMUSG00000026285","Pdcd1"
"552","ENSMUSG00000051185","Fam174a"
"553","ENSMUSG00000040710","St8sia4"
"554","ENSMUSG00000040693","Slco4c1"
"555","ENSMUSG00000026331","Slco6c1"
"556","ENSMUSG00000044768","D1Ertd622e"
"557","ENSMUSG00000040648","Ppip5k2"
"558","ENSMUSG00000026333","Gin1"
"559","ENSMUSG00000026335","Pam"
"560","ENSMUSG00000026336","Slco6d1"
"561","ENSMUSG00000067028","Cntnap5b"
"562","ENSMUSG00000050840","Cdh20"
"563","ENSMUSG00000047496","Rnf152"
"564","ENSMUSG00000056536","Pign"
"565","ENSMUSG00000026319","2310035C23Rik"
"566","ENSMUSG00000026321","Tnfrsf11a"
"567","ENSMUSG00000038866","Zcchc2"
"568","ENSMUSG00000044340","Phlpp1"
"569","ENSMUSG00000057329","Bcl2"
"570","ENSMUSG00000009905","Kdsr"
"571","ENSMUSG00000009907","Vps4b"
"572","ENSMUSG00000067006","Serpinb5"
"573","ENSMUSG00000059956","Serpinb12"
"574","ENSMUSG00000048775","Serpinb13"
"575","ENSMUSG00000044594","Serpinb3a"
"576","ENSMUSG00000058017","Serpinb3d"
"577","ENSMUSG00000073602","Serpinb3b"
"578","ENSMUSG00000073601","Serpinb3c"
"579","ENSMUSG00000026327","Serpinb11"
"580","ENSMUSG00000067001","Serpinb7"
"581","ENSMUSG00000062345","Serpinb2"
"582","ENSMUSG00000026315","Serpinb8"
"583","ENSMUSG00000026312","Cdh7"
"584","ENSMUSG00000047216","Cdh19"
"585","ENSMUSG00000038702","Dsel"
"586","ENSMUSG00000070695","Cntnap5a"
"587","ENSMUSG00000094429","Gm19965"
"588","ENSMUSG00000101303","B020011L13Rik"
"589","ENSMUSG00000100617","Gm7145"
"590","ENSMUSG00000102030","Gm29106"
"591","ENSMUSG00000026374","Tsn"
"592","ENSMUSG00000026377","Nifk"
"593","ENSMUSG00000064302","Clasp1"
"594","ENSMUSG00000026380","Tfcp2l1"
"595","ENSMUSG00000048402","Gli2"
"596","ENSMUSG00000037035","Inhbb"
"597","ENSMUSG00000004451","Ralb"
"598","ENSMUSG00000098923","Tmem185b"
